coin	hourly	change	granular	time_stamp
Binance USD	0.8	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Bitcoin Cash	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Litecoin	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Uniswap	-1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Solana	0.7	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Chainlink	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Polygon	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Theta Network	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Wrapped Bitcoin	-0.6	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Stellar	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Ethereum Classic	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Dai	0	negative	neutral (0%)	2021-06-27T10:45:05Z
VeChain	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
TRON	-0.1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Filecoin	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Internet Computer	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Shiba Inu	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
cUSDC	0.7	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Monero	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
EOS	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
cDAI	0.7	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Amp	-1.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
OKB	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Crypto.com Coin	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Aave	-0.7	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Algorand	-0.1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Bitcoin SV	-0.6	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Klaytn	1.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
PancakeSwap	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Cosmos	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
NEO	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Terra	1.5	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Theta Fuel	-1.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
cETH	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
IOTA	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Tezos	-0.6	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Celsius Network	1.5	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
LEO Token	3.9	positive	warm (2-4%)	2021-06-27T10:45:05Z
FTX Token	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
TerraUSD	0.7	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Maker	-0.7	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Avalanche	0	negative	neutral (0%)	2021-06-27T10:45:05Z
SafeMoon	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Huobi Token	0.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
BitTorrent	-0.1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Hedera Hashgraph	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Decred	-1.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
The Graph	-0.7	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Kusama	-1.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
THORChain	-1.7	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
TrueUSD	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Waves	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Huobi BTC	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Sushi	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Dash	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Compound	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Chiliz	-0.1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Telcoin	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Elrond	0	negative	neutral (0%)	2021-06-27T10:45:05Z
Zcash	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Quant	-1	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
yearn.finance	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Holo	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Lido Staked Ether	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Helium	-3.4	negative	cold (-2-4%)	2021-06-27T10:45:05Z
NEM	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Synthetix Network Token	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Enjin Coin	-0	negative	neutral (0%)	2021-06-27T10:45:05Z
Paxos Standard	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Zilliqa	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Mdex	0.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Basic Attention Token	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Near	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Liquity USD	1.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
XDC Network	0.7	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
HUSD	0.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Bitcoin Gold	0.2	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Stacks	-1.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
NEXO	-2.3	negative	cold (-2-4%)	2021-06-27T10:45:05Z
Harmony	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Bancor Network Token	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Horizen	-0.6	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Nano	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Decentraland	-1.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Qtum	-0	negative	neutral (0%)	2021-06-27T10:45:05Z
DigiByte	0.1	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
cUSDT	0.6	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
KuCoin Token	0.4	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Pirate Chain	-0.8	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
