coin	hourly	change	granular	time_stamp
Fantom	0.4	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
KuCoin Token	-1.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Pirate Chain	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
coin	hourly	change	granular	time_stamp
Bitcoin	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Ethereum	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Tether	0.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Binance Coin	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Cardano	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Dogecoin	1.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
XRP	1.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
USD Coin	0.5	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Polkadot	2.1	positive	warm (2-4%)	2021-06-26T22:00:15Z
Binance USD	0.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Bitcoin Cash	1.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Litecoin	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Uniswap	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Solana	0.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Chainlink	1.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Polygon	0.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Theta Network	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Wrapped Bitcoin	0.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Stellar	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Ethereum Classic	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Dai	-0.1	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
VeChain	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
TRON	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Filecoin	1.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Internet Computer	1.5	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Shiba Inu	1.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
cUSDC	-0.1	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
Monero	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
EOS	1.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
cDAI	-0	negative	neutral (0%)	2021-06-26T22:00:15Z
Amp	-0.7	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
OKB	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Algorand	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Crypto.com Coin	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Klaytn	0.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Bitcoin SV	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Aave	1.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
PancakeSwap	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Celsius Network	-0.1	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
Theta Fuel	2.7	positive	warm (2-4%)	2021-06-26T22:00:15Z
Cosmos	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
NEO	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Terra	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
IOTA	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
LEO Token	0.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Tezos	1.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
cETH	0.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
FTX Token	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
TerraUSD	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Maker	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Avalanche	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
SafeMoon	-0	negative	neutral (0%)	2021-06-26T22:00:15Z
Huobi Token	1.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
BitTorrent	0.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Hedera Hashgraph	0.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
The Graph	1.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Kusama	2.8	positive	warm (2-4%)	2021-06-26T22:00:15Z
Decred	2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
TrueUSD	0.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
THORChain	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Waves	0.7	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Sushi	1.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Huobi BTC	0.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Dash	1.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Chiliz	0.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Compound	1.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Telcoin	1.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Zcash	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Elrond	1.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
yearn.finance	1.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Quant	1.5	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Holo	0.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Helium	-0.3	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
Lido Staked Ether	0.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
NEM	1.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Synthetix Network Token	1.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Paxos Standard	0.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Enjin Coin	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Zilliqa	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Mdex	0.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Near	1.9	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Liquity USD	0.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Basic Attention Token	0.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
XDC Network	-0.3	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
NEXO	0.8	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Stacks	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Bitcoin Gold	2.9	positive	warm (2-4%)	2021-06-26T22:00:15Z
HUSD	-0.2	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
Bancor Network Token	0.6	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Horizen	0.3	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Decentraland	1.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
cUSDT	1.2	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
DigiByte	1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Nano	1.4	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Harmony	0.5	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Qtum	0.5	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
Fantom	2.1	positive	warm (2-4%)	2021-06-26T22:00:15Z
Celo	-4	negative	freezing (-4-6%)	2021-06-26T22:00:15Z
Ontology	1.1	positive	luke warm (0-2%)	2021-06-26T22:00:15Z
KuCoin Token	-0.8	negative	chilly (-0-2%)	2021-06-26T22:00:15Z
coin	hourly	change	granular	time_stamp
Bitcoin	1.7	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Ethereum	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Tether	-0.1	negative	chilly (-0-2%)	2021-06-26T22:15:04Z
Binance Coin	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Cardano	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Dogecoin	2.2	positive	warm (2-4%)	2021-06-26T22:15:04Z
XRP	2.1	positive	warm (2-4%)	2021-06-26T22:15:04Z
USD Coin	0.8	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Polkadot	2.7	positive	warm (2-4%)	2021-06-26T22:15:04Z
Binance USD	1	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Bitcoin Cash	2.4	positive	warm (2-4%)	2021-06-26T22:15:04Z
Litecoin	2.3	positive	warm (2-4%)	2021-06-26T22:15:04Z
Uniswap	1.8	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Solana	1.8	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Chainlink	2.4	positive	warm (2-4%)	2021-06-26T22:15:04Z
Polygon	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Theta Network	2.3	positive	warm (2-4%)	2021-06-26T22:15:04Z
Wrapped Bitcoin	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Stellar	2.7	positive	warm (2-4%)	2021-06-26T22:15:04Z
Ethereum Classic	1.7	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Dai	0.4	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
VeChain	2.3	positive	warm (2-4%)	2021-06-26T22:15:04Z
